,,,,,,
,,,,,,
,,,,,,
,TIC V3.0,,,,,
,Part,Units,Price, SubTotal,,Link 
,,,,,,
,Water Heat Resistor (Garosa 2500W 220V Calentador Portátil),1,11.39 €,  11.39 € ,,https://www.amazon.es/dp/B07RHMSQ6M/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B07RHMSQ6M&pd_rd_w=W1NRf&pf_rd_p=af12bbbd-c74b-4d8c-ad16-2ed2a7b363ab&pd_rd_wg=abuEx&pf_rd_r=WG7ZG7R0E2F9EXDDX804&pd_rd_r=1bf24d33-e0e4-4643-a8ee-9750900695e9&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyUExNSkhPTkUxRTZNJmVuY3J5cHRlZElkPUEwNzE4OTg2MTdSMDIzMFlWRFRZMCZlbmNyeXB0ZWRBZElkPUEwMzUxMjM5MU1FNDczVkZMM01EQyZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
,"PID Controller (Inkbird PID Termostato Digital ITC-100VH 220v, Doble Relés Control de Temperatura Refrigeración y Calefacción+ K Sonda + 25DA SSR+ Radiador Negro para Invernadero, Coche, Acuarios)",1,37.69 €,  37.69 € ,,https://www.amazon.es/Inkbird-Termostato-ITC-100VH-Calentando-Temperatura/dp/B01N2XZ4HV/ref=pd_bap_rp_19?_encoding=UTF8&psc=1&refRID=N4PYGJTRYNDV0JKRJA24
,ON-OFF switch (Set of 16 pcs),1,9.99 €,  9.99 € ,,https://www.amazon.es/RUNCCI-Interruptor-Rocker%EF%BC%8CMini-Interruptores-Basculantes%EF%BC%8C16/dp/B07PQVNBW3/ref=sr_1_19?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=interruptor&qid=1586857966&sr=8-19
,3D printing filament (1kg spool) ,1,20.00 €,  20.00 € ,,https://www.amazon.es/GEEETECH-Filamento-1-75mm-impresi%C3%B3n-Spool/dp/B071DM81ZK/ref=sr_1_7?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=PLA&qid=1586858080&sr=8-7
,Power conector  (IEC 10a C14 3 Pines Chasis Panel Montar Clavija Pines Conector 6.35mmTABS),1,4.00 €,  4.00 € ,,https://www.amazon.es/Chasis-Montar-Clavija-Conector-6-35mmTABS/dp/B003OSUIRK/ref=sr_1_21?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=conector+hembra+alimentaci%C3%B3n&qid=1586858285&sr=8-21
,M3 x10  screws (50 units set),1,22.00 €,  22.00 € ,,https://es.rs-online.com/web/p/tornillos-allen/6604636/
,M3 Inserts (100 units bag),1,22.00 €,  22.00 € ,,https://es.rs-online.com/web/p/insertos-roscados/0278534/
,,,,,,
,TOTAL SET,,,  127.07 € ,,
,,,,,,
,TOTAL per TIC,,,  81.95 € ,,
